sample,condition
11H,H
11T,T
15H,H
15T,T
16H,H
16T,T
24H,H
24T,T
29H,H
29T,T
31H,H
31T,T
32H,H
32T,T
35H,H
35T,T
36H,H
36T,T
38H,H
38T,T
40H,H
40T,T
