sample,condition
11TU,TU
15TU,TU
16TU,TU
24TU,TU
29TU,TU
32TU,TU
38TU,TU
40TU,TU
11KI,KI
15KI,KI
16KI,KI
24KI,KI
29KI,KI
32KI,KI
38KI,KI
40KI,KI
