sample,condition
15KI,KI
15TU,TU
16KI,KI
16TU,TU
29KI,KI
29TU,TU
32KI,KI
32TU,TU
35TU,TU
35KI,KI
11KI,KI
11TU,TU
24KI,KI
24TU,TU
40KI,KI
40TU,TU
38KI,KI
38TU,TU
