source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,tfregulons_level
P16220,P10826,CREB1,RARB,1,0,0,1,0,0,NA,ABS;DoRothEA;PAZAR;RegNetwork;TRED,A
P10826,P00750,RARB,PLAT,1,0,0,1,0,0,NA,DoRothEA;HTRI;HTRIdb;RegNetwork;TRED,A
P05412,P10826,JUN,RARB,1,1,0,1,1,0,NA,DoRothEA;HOCOMOCO_v11;TRRUST,A;D
P10826,P05412,RARB,JUN,1,0,0,1,0,0,NA,DoRothEA;RegNetwork;TRED,A;D
P28347,P10826,TEAD1,RARB,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
P01100,P10826,FOS,RARB,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P19793,P10826,RXRA,RARB,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;IntAct;ReMap,B
P40426,P10826,PBX3,RARB,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
P10826,P13631,RARB,RARG,1,0,0,0,0,0,NA,DoRothEA;TFe,A
P13631,P10826,RARG,RARB,1,0,0,1,0,0,NA,DoRothEA;RegNetwork;TRED;TRRUST,A
P01106,P10826,MYC,RARB,1,0,1,1,0,1,NA,DoRothEA;HTRI;HTRIdb;RegNetwork;TFactS;TRED,A;D
P10826,P01106,RARB,MYC,1,0,0,0,0,0,NA,DoRothEA;RegNetwork;TRED,A;D
P10826,P36955,RARB,SERPINF1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;RegNetwork;TRED,C
P10276,P10826,RARA,RARB,1,1,0,1,1,0,NA,DoRothEA;PAZAR;RegNetwork;TRED;TRRUST,A
P37231,P10826,PPARG,RARB,1,1,0,1,1,0,NA,DoRothEA;RegNetwork;TRED;TRRUST,A
P26367,P10826,PAX6,RARB,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q15796,P10826,SMAD2,RARB,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
P10826,P11766,RARB,ADH5,1,0,0,1,0,0,NA,DoRothEA;HTRI;HTRIdb;TRRUST,A
P10826,P48443,RARB,RXRG,1,0,0,1,0,0,NA,DoRothEA;TFe,A
Q14994,P22309,NR1I3,UGT1A1,1,1,0,1,1,0,NA,DoRothEA;HTRI;HTRIdb;Signor;TRRUST,A
P11473,P04075,VDR,ALDOA,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR;ReMap,B
P08047,P04075,SP1,ALDOA,1,1,0,1,1,0,NA,DoRothEA;ORegAnno;PAZAR;RegNetwork;TFactS;TRED;TRRD,A
P48382,P04075,RFX5,ALDOA,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
P14921,P04075,ETS1,ALDOA,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
Q99814,P04075,EPAS1,ALDOA,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR;ReMap,B
Q16254,P04075,E2F4,ALDOA,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;PAZAR;ReMap,B
