source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,tfregulons_level
Q9NZL3,P04075,ZNF224,ALDOA,1,0,1,1,0,1,NA,DoRothEA;HTRI;HTRIdb;Signor;TRRUST,A
Q16236,P04075,NFE2L2,ALDOA,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
P27540,P04075,ARNT,ALDOA,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;KEGG;PAZAR,C
Q96AV8,P04075,E2F7,ALDOA,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q16665,P04075,HIF1A,ALDOA,1,1,0,1,1,0,NA,DoRothEA;HTRI;KEGG;PAZAR;RegNetwork;Signor;TFactS;TRED;TRRUST,A
Q12857,P04075,NFIA,ALDOA,1,0,0,1,0,0,NA,DoRothEA;PAZAR;RegNetwork;TRED,A
Q9BQ70,P04075,TCF25,ALDOA,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
O14867,P04075,BACH1,ALDOA,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR;ReMap,B
P16220,P21359,CREB1,NF1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;RegNetwork;TRED;TRRUST,A
P01100,P21359,FOS,NF1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
Q02556,P21359,IRF8,NF1,1,1,0,1,1,0,NA,DoRothEA;HOCOMOCO_v11;TRRUST,A
P14921,P21359,ETS1,NF1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P49711,P21359,CTCF,NF1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;TRRUST,A
P55317,P21359,FOXA1,NF1,1,1,0,1,1,0,NA,DoRothEA;PAZAR;TRRUST,A
P31269,P21359,HOXA9,NF1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,P05412,MEF2A,JUN,1,1,0,1,1,0,NA,ABS;DoRothEA;ENCODE_proximal;HOCOMOCO_v11;JASPAR_v2018;PAZAR;TRRUST,A
Q02078,P02144,MEF2A,MB,1,0,0,1,0,0,NA,ABS;DoRothEA;JASPAR_v2018;ORegAnno;PAZAR,C
P49715,Q02078,CEBPA,MEF2A,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
Q02078,P18847,MEF2A,ATF3,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q8WWN9,MEF2A,IPCEF1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,P05556,MEF2A,ITGB1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9UPN3,MEF2A,MACF1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y6Q9,MEF2A,NCOA3,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ENCODE_distal;ReMap,C
Q02078,P15884,MEF2A,TCF4,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q92754,Q02078,TFAP2C,MEF2A,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
Q02078,Q8NF91,MEF2A,SYNE1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,B
Q02078,Q06413,MEF2A,MEF2C,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q06413,Q02078,MEF2C,MEF2A,1,0,0,0,0,0,NA,ENCODE_proximal,C
Q02078,Q6ZUJ8,MEF2A,PIK3AP1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q14511,MEF2A,NEDD9,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,P37275,MEF2A,ZEB1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9H825,MEF2A,METTL8,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q13492,MEF2A,PICALM,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P07992,MEF2A,ERCC1,1,0,0,1,0,0,NA,DoRothEA;ENCODE_distal;HOCOMOCO_v11;ReMap,C
Q02078,Q8N264,MEF2A,ARHGAP24,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q06330,MEF2A,RBPJ,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9UPQ9,MEF2A,TNRC6B,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,P49796,MEF2A,RGS3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q13469,MEF2A,NFATC2,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q9UKV0,MEF2A,HDAC9,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q9H6U6,MEF2A,BCAS3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q05397,MEF2A,PTK2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P15907,MEF2A,ST6GAL1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q8WX93,MEF2A,PALLD,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ENCODE_distal;ReMap,C
Q02078,Q9Y3M8,MEF2A,STARD13,1,0,0,1,0,0,NA,DoRothEA;ENCODE_distal;HOCOMOCO_v11;ReMap,C
Q02078,Q03001,MEF2A,DST,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q99612,MEF2A,KLF6,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q14643,MEF2A,ITPR1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9HC98,MEF2A,NEK6,1,0,0,1,0,0,NA,DoRothEA;ENCODE_distal;ENCODE_proximal;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,P19021,MEF2A,PAM,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P46939,MEF2A,UTRN,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q3L8U1,MEF2A,CHD9,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8TDX7,MEF2A,NEK7,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8N3S3,MEF2A,PHTF2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y376,MEF2A,CAB39,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q9UID6,Q02078,ZNF639,MEF2A,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q5R372,MEF2A,RABGAP1L,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;JASPAR_v2018;ReMap,C
Q02078,Q9UKB1,MEF2A,FBXW11,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8NI08,MEF2A,NCOA7,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,O94868,MEF2A,FCHSD2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P02545,MEF2A,LMNA,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q14814,MEF2A,MEF2D,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,B
Q02078,Q9BZK7,MEF2A,TBL1XR1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,Q9NR56,MEF2A,MBNL1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q15652,MEF2A,JMJD1C,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q569K4,MEF2A,ZNF385B,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,Q9UDY2,MEF2A,TJP2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,O94885,MEF2A,SASH1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P09429,MEF2A,HMGB1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q6WKZ4,MEF2A,RAB11FIP1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,B7ZAP0,MEF2A,RABGAP1L,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;JASPAR_v2018;ReMap,C
Q02078,Q13886,MEF2A,KLF9,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,P31629,MEF2A,HIVEP2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,O00461,MEF2A,GOLIM4,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P35579,MEF2A,MYH9,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9P2Y5,MEF2A,UVRAG,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P0DPB3,MEF2A,SCHIP1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;JASPAR_v2018;ReMap,B
Q02078,Q9UPU9,MEF2A,SAMD4A,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,O95425,MEF2A,SVIL,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P51451,MEF2A,BLK,1,0,0,1,0,0,NA,DoRothEA;ENCODE_proximal;JASPAR_v2018;ReMap,C
Q02078,P49757,MEF2A,NUMB,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9H3R0,MEF2A,KDM4C,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,P51825,MEF2A,AFF1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,O75962,MEF2A,TRIO,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P14672,MEF2A,SLC2A4,1,1,0,1,1,0,NA,DoRothEA;HOCOMOCO_v11;HTRI;HTRIdb;JASPAR_v2018;PAZAR;TRRUST,A
Q02078,Q13023,MEF2A,AKAP6,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y5W3,MEF2A,KLF2,1,0,0,1,0,0,NA,DoRothEA;FANTOM4;KEGG,A
Q02078,Q13029,MEF2A,PRDM2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y4D1,MEF2A,DAAM1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9NZN5,MEF2A,ARHGEF12,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9UPR0,MEF2A,PLCL2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,Q86Y38,MEF2A,XYLT1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P11532,MEF2A,DMD,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y2L9,MEF2A,LRCH1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q14766,MEF2A,LTBP1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8IUD2,MEF2A,ERC1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q14156,MEF2A,EFR3A,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9H792,MEF2A,PEAK1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,P26038,MEF2A,MSN,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,A1A4S6,MEF2A,ARHGAP10,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,A0AV02,MEF2A,SLC12A8,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q8N4C6,MEF2A,NIN,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9GZV5,MEF2A,WWTR1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9BZQ8,MEF2A,FAM129A,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q5T5P2,MEF2A,KIAA1217,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,Q9UKI2,MEF2A,CDC42EP3,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8N556,MEF2A,AFAP1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q6P1J6,MEF2A,PLB1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q9NR81,MEF2A,ARHGEF3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q9Y2C2,MEF2A,UST,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,O43166,MEF2A,SIPA1L1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
Q02078,Q4AE62,MEF2A,GTDC1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;JASPAR_v2018;ReMap,B
Q02078,Q6ZUX7,MEF2A,LHFPL2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q15075,MEF2A,EEA1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q15746,MEF2A,MYLK,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q8WYP3,MEF2A,RIN2,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
Q02078,Q02156,MEF2A,PRKCE,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9NZV1,MEF2A,CRIM1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,Q9Y232,MEF2A,CDYL,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02078,A6NI28,MEF2A,ARHGAP42,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
Q02078,Q9ULH1,MEF2A,ASAP1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;ReMap,C
Q02080,Q02078,MEF2B,MEF2A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;ReMap,C
P08047,P30301,SP1,MIP,1,1,0,1,1,0,NA,ABS;DoRothEA;ORegAnno;PAZAR;RegNetwork;TRED,A
P05549,P30301,TFAP2A,MIP,1,1,0,1,1,0,NA,DoRothEA;ORegAnno;PAZAR;RegNetwork;TRED,A
P23771,O75030,GATA3,MITF,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P35225,GATA3,IL13,1,0,0,1,0,0,NA,ABS;DoRothEA;KEGG;PAZAR,A
P10242,P23771,MYB,GATA3,1,0,0,0,0,0,NA,DoRothEA;TRRUST,C;D
P23771,P10242,GATA3,MYB,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C;D
P23771,P05113,GATA3,IL5,1,1,0,1,1,0,NA,ABS;DoRothEA;KEGG;PAZAR;TRRUST,A
P05412,P23771,JUN,GATA3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;KEGG,C;D
P23771,P05412,GATA3,JUN,1,0,0,0,0,0,NA,DoRothEA;PAZAR,C;D
Q01094,P23771,E2F1,GATA3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;RegNetwork;TRED,A
P23771,Q07973,GATA3,CYP24A1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P28347,GATA3,TEAD1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P19838,P23771,NFKB1,GATA3,1,1,0,1,1,0,NA,DoRothEA;ENCODE_distal;KEGG;ReMap;TRRUST,A
P23771,P19838,GATA3,NFKB1,1,0,0,0,0,0,NA,DoRothEA;PAZAR;TRRUST,A
P01100,P23771,FOS,GATA3,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;KEGG;PAZAR,A;D
P23771,P01100,GATA3,FOS,1,0,0,0,0,0,NA,DoRothEA;PAZAR,A;D
P23771,P18847,GATA3,ATF3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,Q16881,GATA3,TXNRD1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q96PU5,GATA3,NEDD4L,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q9UHI5,GATA3,SLC7A8,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,P19793,GATA3,RXRA,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q9Y6W6,GATA3,DUSP10,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P20020,GATA3,ATP2B1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;HTRI;HTRIdb;PAZAR,A
P23771,P05981,GATA3,HPN,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P23771,Q13627,GATA3,DYRK1A,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P23771,P42892,GATA3,ECE1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR;ReMap,B
P23771,Q8NAP3,GATA3,ZBTB38,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,Q00987,GATA3,MDM2,1,0,0,1,0,0,NA,DoRothEA;IntAct;PAZAR,A
P23771,P40426,GATA3,PBX3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q15669,GATA3,RHOH,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HTRI;HTRIdb;PAZAR,A
P14921,P23771,ETS1,GATA3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P14921,GATA3,ETS1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q15147,GATA3,PLCB4,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR;ReMap,B
P23771,Q9H2K8,GATA3,TAOK3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q13557,GATA3,CAMK2D,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q8NI32,GATA3,LYPD6B,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
P23771,O15117,GATA3,FYB1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;JASPAR_v2018;PAZAR,B
P23771,P43268,GATA3,ETV4,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P23771,Q93052,GATA3,LPP,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q4ZG55,GATA3,GREB1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;IntAct;PAZAR;ReMap,A
P23771,Q96HH9,GATA3,GRAMD2B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P05067,GATA3,APP,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q5THJ4,GATA3,VPS13D,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q14449,GATA3,GRB14,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,Q9HCH5,GATA3,SYTL2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q14517,GATA3,FAT1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q08499,GATA3,PDE4D,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q16798,GATA3,ME3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q9H7B4,GATA3,SMYD3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P07998,GATA3,RNASE1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P23771,O75122,GATA3,CLASP2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
P23771,Q9Y6Q9,GATA3,NCOA3,1,0,0,1,0,0,NA,DoRothEA;IntAct;PAZAR,A
P23771,Q8WXX7,GATA3,AUTS2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,P35236,GATA3,PTPN7,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;PAZAR,B
P23771,P02751,GATA3,FN1,1,0,0,1,0,0,NA,DoRothEA;IntAct;PAZAR,A
P23771,O43903,GATA3,GAS2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,P15884,GATA3,TCF4,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
P23771,P40424,GATA3,PBX1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q8NF91,GATA3,SYNE1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q6UXG2,GATA3,KIAA1324,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,O95859,GATA3,TSPAN12,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,P01588,GATA3,EPO,1,0,1,1,0,1,NA,DoRothEA;HTRI;HTRIdb;TRRUST,A
P23771,Q5H8C1,GATA3,FREM1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
P23771,Q9NS68,GATA3,TNFRSF19,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
P23771,P62805,GATA3,HIST1H4C,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C;D
P23771,P18510,GATA3,IL1RN,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,Q9H6J7,GATA3,C11orf49,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P23771,Q8IVL1,GATA3,NAV2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q86SQ0,GATA3,PHLDB2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
P23771,Q6ISB3,GATA3,GRHL2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
