sample;palmitic acid;stearic acid;palmitoylcarnitine;picolinamide;Isovalerylcarnitine;ButyrylCarnitine;pyruvate;orotic acid;creatinine;Acetylcarnitine;Propionylcarnitine;Lactate;adenosine;phenylalanine;adenine;leucine;urea;Isoleucine;betaine;methionine;Pyroglutamic_Acid;tryptophan;cytidine;valine;proline;citrulline;carnitine;fructose;AcetylCholine;tyrosine;guanosine;Hydroxyproline;histidine;creatine;2-HG;gluconate;glutamine;S-Adenosyl-Homocysteine;beta alanine;GABA;asparagine;threonine;NAD;Glycerylphosphorylethanolamine;AMP;glucose;Glycine;serine;GSH;Succinic_Glutathione;Glutamate;N-AcetylAspartate;alanine;taurine;aspartate;S-Adenosyl-Methionine;Glycerylphosphorylcholine;Succinate;cysteic acid;2SC;ADP;aKG;ethanolamine;malate;aconitate; choline;Fructose_6-Phosphate;Glyceraldehyde_3-phosphate;fumarate;argininosuccinate;Glucose_6-Phosphate;carbamoylaspartate;GSSG;ornithine;citrate;lysine;cystathione;arginine;ATP;UDP;carbamoyl phosphate
HK2_DMSO;2,69E-04;6,72E-05;2,49E-06;3,02E-04;8,22E-05;4,94E-03;8,92E-04;3,01E-03;7,39E-03;2,14E-02;2,20E-03;1,48E-02;1,39E-04;3,41E-03;3,04E-04;9,18E-03;2,68E-03;7,18E-03;8,95E-02;1,50E-03;9,08E-04;4,98E-03;4,10E-06;3,77E-03;1,10E-01;1,68E-03;1,12E-01;1,86E-04;2,83E-04;1,90E-03;0,00E+00;1,54E-03;5,24E-03;2,90E-01;4,27E-04;6,33E-04;7,93E-03;2,90E-05;1,59E-03;6,99E-04;8,49E-04;8,59E-03;9,02E-05;2,20E-03;6,42E-05;3,81E-04;9,62E-04;8,02E-04;3,03E-02;1,55E-05;1,30E-01;6,60E-03;1,32E-02;1,92E-02;7,61E-03;2,11E-04;3,64E-02;3,63E-04;6,61E-04;0,00E+00;2,87E-04;2,75E-03;1,72E-04;1,53E-02;1,72E-04;2,68E-03;4,67E-06;0,00E+00;5,98E-04;1,53E-06;1,11E-05;2,00E-04;5,31E-05;2,40E-04;1,18E-03;3,65E-04;1,22E-04;1,21E-03;4,48E-04;1,40E-05;2,44E-03
HK2_DMSO;1,10E-04;5,35E-05;6,81E-06;1,80E-04;1,00E-04;4,92E-03;7,29E-04;3,65E-03;6,79E-03;2,25E-02;2,21E-03;1,21E-02;1,17E-04;3,16E-03;3,23E-04;7,63E-03;2,61E-03;7,33E-03;8,95E-02;1,28E-03;9,36E-04;4,54E-03;4,35E-06;3,39E-03;1,13E-01;1,52E-03;1,17E-01;6,26E-05;3,28E-04;2,04E-03;0,00E+00;1,53E-03;4,77E-03;2,91E-01;5,71E-04;6,94E-04;5,54E-03;3,57E-05;1,73E-03;6,15E-04;8,21E-04;1,00E-02;1,03E-04;2,21E-03;5,76E-05;4,14E-04;9,32E-04;7,85E-04;3,03E-02;1,43E-05;1,29E-01;7,17E-03;1,39E-02;2,00E-02;6,99E-03;2,03E-04;3,48E-02;3,73E-04;5,68E-04;2,15E-06;2,98E-04;2,77E-03;2,00E-04;1,49E-02;1,42E-04;2,61E-03;3,43E-06;0,00E+00;5,94E-04;8,15E-07;9,28E-06;2,82E-04;5,34E-05;1,44E-04;1,28E-03;2,75E-04;1,24E-04;5,46E-04;5,15E-04;1,43E-05;2,47E-03
HK2_DMSO;1,40E-04;4,96E-05;7,24E-06;1,93E-04;8,75E-05;4,74E-03;7,72E-04;3,39E-03;7,67E-03;2,01E-02;2,50E-03;1,24E-02;1,22E-04;3,45E-03;3,40E-04;7,76E-03;2,56E-03;7,02E-03;9,14E-02;1,40E-03;9,37E-04;4,60E-03;9,95E-06;3,51E-03;1,10E-01;1,50E-03;1,24E-01;1,86E-04;3,17E-04;2,09E-03;0,00E+00;1,59E-03;4,89E-03;2,87E-01;5,25E-04;6,92E-04;6,96E-03;2,72E-05;1,51E-03;5,32E-04;8,42E-04;8,91E-03;9,36E-05;2,13E-03;5,33E-05;3,65E-04;9,19E-04;7,58E-04;2,97E-02;1,38E-05;1,29E-01;6,84E-03;1,26E-02;1,91E-02;7,38E-03;2,00E-04;3,83E-02;3,85E-04;6,61E-04;1,87E-06;3,00E-04;2,64E-03;2,64E-04;1,42E-02;1,44E-04;2,23E-03;3,88E-06;0,00E+00;5,45E-04;0,00E+00;9,60E-06;1,87E-04;5,24E-05;1,46E-04;1,31E-03;3,34E-04;1,24E-04;7,93E-04;5,22E-04;1,20E-05;2,34E-03
HK2_Ros;2,34E-04;5,67E-05;1,87E-05;2,45E-04;1,04E-04;3,19E-03;7,00E-04;0,00E+00;7,87E-03;1,48E-02;1,79E-03;1,43E-02;2,31E-04;3,94E-03;3,59E-04;1,02E-02;3,35E-03;8,59E-03;6,72E-02;1,90E-03;7,22E-04;5,06E-03;1,87E-04;4,24E-03;1,37E-01;1,55E-03;9,72E-02;2,39E-04;3,10E-04;2,14E-03;2,82E-05;1,12E-03;6,99E-03;2,80E-01;5,14E-04;4,56E-04;9,50E-03;1,90E-05;1,47E-03;7,73E-04;9,25E-04;7,50E-03;1,07E-04;2,55E-03;6,48E-05;3,02E-04;7,40E-04;6,77E-04;2,54E-02;7,35E-06;1,30E-01;5,19E-03;1,03E-02;1,12E-02;4,85E-03;2,02E-04;8,34E-02;3,44E-04;3,07E-04;0,00E+00;2,93E-04;2,39E-03;2,30E-04;1,15E-02;7,93E-05;3,58E-03;3,15E-06;0,00E+00;3,60E-04;1,95E-06;6,85E-06;4,01E-06;4,21E-05;8,57E-04;1,25E-03;4,40E-04;1,18E-04;3,31E-03;4,04E-04;1,03E-05;2,23E-03
HK2_Ros;2,71E-04;6,75E-05;1,61E-05;1,91E-04;1,09E-04;3,00E-03;5,75E-04;0,00E+00;6,35E-03;1,27E-02;1,77E-03;1,22E-02;2,29E-04;3,88E-03;3,44E-04;9,13E-03;2,04E-03;7,95E-03;5,89E-02;1,70E-03;8,09E-04;4,73E-03;1,99E-04;4,05E-03;1,48E-01;1,48E-03;8,58E-02;5,23E-05;2,59E-04;1,97E-03;2,44E-05;1,18E-03;5,97E-03;3,09E-01;3,99E-04;2,75E-04;7,64E-03;1,94E-05;1,47E-03;7,80E-04;9,06E-04;7,33E-03;8,13E-05;2,41E-03;5,92E-05;3,00E-04;7,70E-04;6,80E-04;2,51E-02;5,44E-06;1,27E-01;4,99E-03;1,06E-02;1,16E-02;4,55E-03;1,62E-04;8,30E-02;3,03E-04;3,45E-04;0,00E+00;2,91E-04;2,52E-03;2,70E-04;1,17E-02;1,23E-04;3,69E-03;0,00E+00;0,00E+00;3,21E-04;3,08E-06;7,28E-06;3,61E-06;3,72E-05;1,79E-04;6,42E-04;3,30E-04;1,10E-04;1,05E-03;3,71E-04;9,64E-06;2,35E-03
HK2_Ros;2,16E-04;8,40E-05;2,34E-05;2,22E-04;1,37E-04;3,44E-03;6,93E-04;0,00E+00;6,63E-03;1,35E-02;1,64E-03;1,47E-02;2,02E-04;3,80E-03;3,30E-04;8,84E-03;2,58E-03;8,61E-03;6,43E-02;1,80E-03;8,22E-04;5,18E-03;2,24E-04;4,16E-03;1,42E-01;1,50E-03;9,17E-02;7,62E-05;2,78E-04;2,18E-03;3,60E-05;1,06E-03;6,43E-03;2,90E-01;5,19E-04;3,38E-04;8,19E-03;1,80E-05;1,60E-03;7,73E-04;9,35E-04;7,45E-03;1,07E-04;2,66E-03;7,33E-05;4,23E-04;8,19E-04;7,02E-04;2,66E-02;7,55E-06;1,35E-01;5,61E-03;1,04E-02;1,19E-02;4,65E-03;1,72E-04;7,61E-02;2,66E-04;3,35E-04;1,54E-06;2,91E-04;2,62E-03;2,10E-04;1,27E-02;1,07E-04;4,00E-03;2,04E-06;0,00E+00;4,15E-04;1,53E-06;8,17E-06;3,27E-06;4,50E-05;3,47E-04;9,36E-04;3,92E-04;1,10E-04;1,96E-03;3,55E-04;1,35E-05;2,16E-03
HK2_Filgot;4,82E-04;3,62E-04;0,00E+00;1,72E-04;8,81E-05;5,15E-03;5,90E-04;3,11E-03;6,81E-03;1,94E-02;2,03E-03;1,18E-02;7,53E-05;3,29E-03;2,51E-04;8,90E-03;2,30E-03;6,88E-03;9,79E-02;1,34E-03;8,91E-04;4,83E-03;7,46E-06;3,45E-03;1,09E-01;1,61E-03;1,13E-01;1,68E-04;3,29E-04;2,01E-03;0,00E+00;1,49E-03;5,10E-03;2,98E-01;3,59E-04;8,14E-04;7,07E-03;2,94E-05;1,72E-03;6,44E-04;8,59E-04;9,30E-03;1,32E-04;2,13E-03;4,42E-05;3,36E-04;9,89E-04;8,46E-04;3,03E-02;1,15E-05;1,26E-01;6,90E-03;1,35E-02;1,76E-02;7,09E-03;2,14E-04;3,62E-02;3,36E-04;5,54E-04;1,65E-06;2,54E-04;2,34E-03;1,37E-04;1,39E-02;1,41E-04;2,27E-03;4,09E-06;4,37E-05;4,77E-04;2,56E-06;6,98E-06;2,30E-04;4,52E-05;1,57E-04;9,51E-04;3,02E-04;1,41E-04;9,13E-04;3,84E-04;1,48E-05;2,34E-03
HK2_Filgot;3,90E-04;1,51E-04;3,71E-06;1,59E-04;1,08E-04;5,26E-03;6,52E-04;3,43E-03;6,31E-03;2,13E-02;2,23E-03;1,19E-02;7,86E-05;3,22E-03;1,81E-04;7,40E-03;2,25E-03;7,00E-03;1,01E-01;1,41E-03;7,68E-04;4,64E-03;6,46E-06;3,14E-03;1,07E-01;1,53E-03;1,07E-01;1,12E-04;2,91E-04;2,03E-03;0,00E+00;1,50E-03;5,45E-03;3,10E-01;4,43E-04;8,26E-04;5,89E-03;2,78E-05;1,63E-03;5,99E-04;8,25E-04;9,22E-03;5,84E-05;2,12E-03;4,60E-05;3,35E-04;9,80E-04;8,23E-04;3,05E-02;1,47E-05;1,23E-01;7,38E-03;1,37E-02;1,71E-02;6,90E-03;2,32E-04;3,27E-02;2,78E-04;6,07E-04;9,37E-07;2,46E-04;2,52E-03;1,62E-04;1,50E-02;1,44E-04;2,24E-03;4,19E-06;4,28E-05;5,14E-04;2,59E-06;8,75E-06;2,59E-04;4,37E-05;1,30E-04;1,13E-03;2,90E-04;1,38E-04;5,48E-04;4,41E-04;1,58E-05;2,43E-03
HK2_Filgot;4,03E-04;2,02E-04;2,57E-06;1,77E-04;1,11E-04;5,15E-03;6,96E-04;3,62E-03;7,31E-03;2,10E-02;2,26E-03;1,29E-02;6,03E-05;3,52E-03;2,40E-04;8,45E-03;2,57E-03;7,20E-03;9,81E-02;1,34E-03;8,42E-04;4,70E-03;7,03E-06;3,45E-03;1,08E-01;1,51E-03;1,04E-01;2,05E-04;3,07E-04;1,92E-03;0,00E+00;1,64E-03;5,35E-03;3,01E-01;3,96E-04;9,44E-04;7,01E-03;3,60E-05;1,66E-03;5,91E-04;9,15E-04;1,03E-02;1,13E-04;2,28E-03;4,61E-05;3,04E-04;1,00E-03;8,34E-04;3,21E-02;1,70E-05;1,27E-01;7,03E-03;1,38E-02;1,81E-02;6,69E-03;2,10E-04;3,66E-02;2,92E-04;5,22E-04;1,92E-06;2,37E-04;2,16E-03;1,01E-04;1,25E-02;1,17E-04;1,90E-03;4,42E-06;4,78E-05;4,46E-04;1,75E-06;8,93E-06;2,21E-04;4,16E-05;2,88E-04;1,07E-03;3,34E-04;1,31E-04;1,33E-03;4,32E-04;1,56E-05;2,19E-03
HK2_GSK;9,47E-04;7,77E-04;6,25E-06;1,53E-04;1,10E-04;5,04E-03;6,43E-04;3,20E-03;6,85E-03;2,18E-02;2,22E-03;1,24E-02;8,29E-05;3,80E-03;2,04E-04;7,97E-03;3,13E-03;7,57E-03;1,01E-01;1,55E-03;7,70E-04;4,71E-03;5,51E-06;3,47E-03;1,10E-01;1,67E-03;1,03E-01;1,96E-04;2,90E-04;1,85E-03;0,00E+00;1,85E-03;5,79E-03;2,93E-01;4,06E-04;7,77E-04;5,88E-03;3,38E-05;1,59E-03;5,72E-04;8,55E-04;9,55E-03;1,13E-04;2,26E-03;5,24E-05;3,16E-04;9,91E-04;8,17E-04;3,07E-02;1,35E-05;1,25E-01;6,48E-03;1,44E-02;1,60E-02;6,00E-03;2,39E-04;4,28E-02;3,28E-04;6,10E-04;2,77E-06;3,03E-04;2,25E-03;1,07E-04;1,33E-02;1,10E-04;2,22E-03;6,48E-06;3,80E-05;4,69E-04;2,49E-06;8,11E-06;2,30E-04;4,47E-05;8,82E-04;1,30E-03;3,65E-04;1,50E-04;2,69E-03;5,07E-04;1,73E-05;2,28E-03
