metabolite,11TU,15TU,16TU,24TU,29TU,32TU,38TU,40TU,11KI,15KI,16KI,24KI,29KI,32KI,38KI,40KI
palmitoylcarnitine,18900906.8615243,85155794.7853923,175567144.392401,34220896.7187079,27613061.5209241,480568459.04585,42093984.47231,68842650.0318307,103009232.457622,113613814.054878,69386197.4025005,110786117.068904,117809864.975972,118083437.855037,105510964.245329,159244537.579937
myristoylcarnitine,6702703.61874815,15395330.2398237,18197125.6168649,15727756.9219995,11360992.8252348,100462504.733039,12190331.2916822,27191170.7502695,34651065.1645064,30080581.9133674,20691245.0032493,31296136.9868086,33884921.4239887,26349720.9017261,40232007.6921345,53699482.6132189
octanoylcarnitine,4087762.52787017,4597915.14421859,4520539.90772574,9255216.42751192,12070856.0724966,11389960.7249365,7703307.93007868,18287906.0394188,3025287.65093202,6358675.02722253,3408437.91638569,3108961.66636476,10065504.0931392,5266106.96993336,5957288.79298868,8409473.34246658
KIV,11613546.9506975,2306136.57235762,11865710.0759972,2737541.32480772,2306160.29688011,5732826.9257486,2974743.25033847,6860487.7331453,1351350.58240162,1330844.3939608,358666.787574189,2770958.41050824,2444674.32802358,2344764.31394184,2682398.79405178,9956694.40696277
kynurenic_acid,NA,568144.076990042,NA,NA,NA,NA,NA,NA,1810988.23947449,224793.455628597,1147774.35573454,198137.519654952,NA,2587126.17508939,6173047.34850463,1339374.47914262
isovalerylcarnitine,6299850.5569977,9223372.66041582,9798605.1053499,36934465.4002822,18990208.1822309,69749133.3757215,11585296.5791402,37172741.8351306,87215849.7061137,119533560.993346,49231692.4034456,51358392.5767558,111026457.609696,79481674.1676864,111572113.350244,115381316.928494
nicotinamide/picolinamide,69946173.0019794,246483392.413656,67442978.6731268,301511724.023959,351767568.08059603,169576525.910266,204821688.056533,144482826.584015,121908579.067817,122554623.49678,128679917.815582,128864855.046395,319738513.484237,130385109.568585,92972319.2702533,470937989.141626
butyrylcarnitine,152494644.290625,219676739.029789,314781070.895546,269240736.173973,235900833.519647,1041717995.89831,119971991.544945,378230938.833192,475304604.869021,550167435.022946,586568691.950959,343708134.872775,721234845.527691,487466460.510402,568002549.776808,894610857.150121
riboflavin,NA,NA,NA,NA,22514.8139819998,NA,NA,NA,882627.026410111,314993.45841324,303640.374268552,705929.231513061,109060.748348888,188155.847545048,1320543.10443776,1323003.78168809
pyruvate,35946843.4545341,15101710.0832826,61799390.9909317,5297060.30242139,10293360.0135727,16041818.9749362,7540267.8317255,16972744.1564234,4181766.35369507,NA,3353796.72263822,6400377.61969627,28395799.33134,8417748.52851965,8815678.96292353,12062859.0275211
stereamide,818882.091374272,577666.516834958,10068945.4080431,947873.787116163,391331.393335417,2007803.19315691,758595.756621301,380923.974084591,NA,153319.231749656,391537.512418546,NA,NA,181739.428451802,112596.218189132,367887.206608076
creatinine,1142795465.76448,3072175631.53332,858731208.107878,853595573.105806,1085226232.73559,762734095.486669,1004775393.70557,939268062.857097,2218450334.17607,2714617415.68707,2056073820.58293,4510918412.56302,2976651191.78754,1746150785.35572,3186052560.37758,4308245950.70446
3-hydroxybutyrate,251479668.524377,251062209.939053,273933645.012611,170889263.971842,63352994.5494963,127034139.772007,183079689.76871,280563160.396923,450394028.003346,272008153.066164,377929877.553081,236329438.488361,57899293.970197,152865969.938816,368170786.527076,580993420.690749
acetylcarnitine,1902035288.82064,4777485298.54383,2425207939.72901,45842606546.3731,9776170928.70843,38726800366.7393,8196230287.26265,9914950509.93859,7716062333.47163,12543379936.8749,9734762746.04724,11136345214.4339,17515761215.4034,13642280586.4587,10538495711.0204,20783824971.7183
propionylcarnitine,35329643.1828729,183452148.969834,56454739.0635176,302687183.661546,275701381.924429,617964269.4711,434791952.002259,384770314.903436,675252563.252549,1086817480.11803,310491823.020289,662145009.208816,456770182.633016,724637280.927187,814535656.813565,1470857599.58873
lactate,1047461486.27711,3261334914.81213,5039468265.78656,2968485794.38795,7557514308.22423,5177272100.51485,4057373765.94596,1636507971.62294,4708119436.69811,3833415277.72618,4086377308.13191,2998424663.30849,6360109758.92461,3010362323.89803,4902673827.71961,3458000407.70248
adenosine,977455641.120673,190146816.965395,56127307.7371195,433227530.914585,261244417.368227,42991280.1677452,744867141.630371,566873971.720666,788683911.268707,899441042.481646,187365606.377851,832336397.292815,219958115.145031,311908379.810307,773141134.355915,1868388897.8713
phenylalanine,429265662.16069,290065309.15923,1032792740.8581899,260860952.510923,1250602554.01625,526251811.896847,389685851.249872,339167283.73363,746053892.03413,448995810.130886,645288950.026681,348567605.510666,402797148.90546,572216874.480288,978439929.957459,687587544.82653606
glycerol,51101505.5270614,34972337.7233547,49342521.9843758,32088571.2831778,46030927.9828175,25819888.3981107,49128864.2772547,25294252.1602283,103688178.863914,55032459.6222798,97874486.9636451,76298788.5444718,88295365.5446838,44421811.3688288,103079120.353519,54749855.6967246
adenine,102245504.220467,74186756.4285169,23300927.0363768,95072425.8048188,121244657.791006,17263433.4635829,124654169.608098,119506334.120359,411227392.26061,266313117.268715,75792145.8562139,156476440.447748,171472690.257449,66874023.11164,117063306.182297,409887436.302265
guanine,21773436.8164405,48243148.3798271,NA,47281852.1996585,NA,NA,NA,NA,NA,NA,NA,NA,22521457.9492191,NA,NA,NA
hypoxanthine,225290279.525424,544419735.19103,327178053.580351,963182552.881626,1090664819.40674,684645126.016794,1105428792.59663,318105768.63284,2899055947.25585,1850755339.75558,2246692584.35472,1614558075.24419,1518452736.89828,1127733973.7434,1759868018.25312,1614853109.51946
leucine,941462180.307536,844821875.168869,1735057695.42733,372615366.399154,1982197125.72189,634356005.73354,769470688.812755,684490775.650439,1449677300.79407,867381264.900214,1138016917.24521,879550065.115099,773780464.97442,1088693409.50218,2048960884.72968,1362651063.93324
urea,298194553.576971,514550048.816262,376169382.323629,70357230.8370073,325819296.808076,76033987.0554891,300721128.700271,342864851.0715,279188328.721906,435722753.261779,240251906.803761,283248728.629396,537002086.400411,231039325.861122,352051219.295852,494055511.303034
isoleucine,556992000.326417,557351612.144024,1208011378.21852,237388740.14409,578527439.710777,240828219.214887,276198667.229234,331617674.547859,835464695.953533,597871064.063852,738292429.926317,561495653.874541,232152396.803348,539935786.876984,871131808.052236,618171192.002353
kynurenine,10520303.4360693,23565498.3683094,28635603.0977515,30244089.1507932,1619941.22341263,414849.066646505,8147693.50775634,21791188.2586115,4499079.81932123,8295709.97259927,5727157.60017863,2402285.2767549,1223823.60124583,5264617.26787467,3278335.82007216,7086794.8133918
methionine,218622361.023097,191814909.719498,416282860.416151,103188733.901662,366165769.300449,146990391.941999,116421397.994766,216660134.078903,422965397.474341,227886566.760058,273770870.664117,266695377.911629,181606635.796298,306051323.805476,521050169.342131,445969831.845499
tryptophan,238425862.897126,114436133.809878,271608319.123559,64465673.2217317,419888869.539335,136411827.593044,138067531.479722,151810364.452077,273394023.631251,153148796.578037,178986812.245835,158588143.656022,149255919.235876,174226730.650622,301756175.421422,323476902.644598
cytidine,4314347.83975739,20805056.3334462,2017794.73819193,6240876.55594064,94203627.9476608,497147.56579508,16331918.9092069,14532702.4561245,16436241.0665608,53861193.483175,16189002.4094798,34436083.1426362,4375511.71434545,38258764.2964812,39977434.1696548,37900037.09766
cytosine,1036441.74355061,5759427.912527,281308.04701935,693521.24843929,25530874.1458081,NA,3688135.81994985,3231321.71534567,3747989.7596166,12896808.2468593,3780573.92545695,8688104.09365922,442317.456219985,9545047.85131656,8983954.76327621,11022841.7044135
proline,1481413707.64482,2564551820.00365,3724704459.98133,1259344981.45997,8461489804.45574,5176739018.81045,3900959650.28589,3019153310.76045,2753666567.08396,2111808062.24631,2461635592.99406,1980103879.95303,5778617934.91795,2714578941.86087,4043078329.19275,3620731415.8592
citrulline,57782588.3639662,34339034.2711035,62798091.06374,33150212.6953855,54621303.7453135,27805692.7279043,41776149.933311,46375834.9210324,14882399.5781189,4707125.44914175,8327755.78124533,17936627.9044897,137636819.485923,6481718.02013472,14489921.8293705,23351209.9061958
carnitine,5539117803.31781,10235952940.2929,2419333654.67375,35188823916.4708,14879364804.2587,32361095484.0244,40545549166.4334,22947228775.0294,10642360093.5698,15755469338.4737,7099677709.4294,10641542444.6381,20851476617.6629,12520835111.3583,13397686384.4161,22377794648.0608
fructose,26449655.711794,13071453.4304761,10136268.6662949,1856907.1763976,11550668.3956236,9254056.09955109,27643190.1489798,7231399.18442281,8889545.92332091,8173726.77748676,2069374.74773095,8877804.46622326,29496073.3570968,5688937.12011431,4072708.91698678,7954765.75429447
acetylcholine,136223205.738327,540656095.117882,64168449.9800742,994493201.685625,217658560.417731,616035626.941914,952362004.738314,445450938.735534,221787802.168588,381791714.075518,169659987.256376,334756203.216871,4409090286.7309,301151302.408838,310909037.899706,525962176.090805
tyrosine,182073971.814375,160287210.525518,413349742.58966,123162656.96286,549653431.810996,168872081.592255,153777421.278985,182572805.287079,324823429.941972,231949317.436048,239284979.80682,216674876.548717,195637298.991011,276345765.91625,467063684.180787,427700896.624468
guanosine,23514365.8572246,28843194.8980568,5227537.08073567,48388687.2575366,28928746.3041887,3150170.07573872,18848602.7403519,6102684.52148291,12090031.038406,22408007.7986392,12440532.9342721,22696159.8098466,35809970.8802129,10095936.3393438,18028354.9022021,26626010.9750125
sorbitol,124567759.952962,19025090.7478367,22647530.3803496,66645173.0356966,83479551.2815428,70900032.5343474,201841360.987501,89642683.1225215,226537829.020773,8422669.01800604,4470381.88461299,246681981.481329,370744560.782307,150900625.985084,309024941.962288,472788368.471466
argininosuccinate,92043.6340204677,261341.242533573,NA,2336389.60107215,28302405.3277271,3724803.24164364,5195738.98011054,5079637.23808914,4624867.21385774,1846067.20600761,1339448.84465271,2483770.09956091,1282049.87409231,3218548.92229663,7761544.98949244,4656295.21745068
histidine,536126213.518344,289817316.076342,529843517.097668,206984980.381494,741640301.340555,310562486.993193,437109594.209984,393875860.574838,654570811.69786,368792210.006229,387518431.582608,456720793.897699,395987359.467618,664220842.360889,1000329802.41959,789252334.55998
taurine,809895759.366612,1915673911.32373,450520245.431214,1455178324.67586,1041369979.9598,1349392909.56479,1212725716.327,1729297954.19378,1323025018.64089,1725245291.08857,1089195066.34539,1698764580.23939,440907319.128439,1187013765.18537,1438121552.91868,2259359512.81565
creatine,8210640012.25781,13034708002.4866,8279706570.52523,2188766441.11715,7245169534.30558,13149565335.378,13810390386.4556,4725185847.12707,8948389562.56423,15940676559.266,12285239394.389,10297154141.8199,7585504956.64596,6437472677.56261,10384384607.5491,12764848457.8054
hypotaurine,NA,847275.367047657,NA,4765559.11043147,3152254.38965202,453579.361952013,18615899.2948277,12598609.0892944,238531.404542158,498937.072992657,NA,387508.57465008,7203851.48576061,157043.665308752,NA,987397.943957653
2-HG,9264368.32503735,28771184.534936,36021812.3689065,19998678.9529299,34761850.4240546,216219838.726032,15844469.0012743,36295367.9317633,9958846.56257154,9143016.08571419,13483897.1795514,17249703.424206,21987418.9609848,20519302.7743885,8607103.93776539,16393209.8175386
gluconate,497388.888887153,8193021.74827491,3004023.39831327,117576824.749783,5533653.16765721,7984343.66259098,15625587.5649863,2333938.98123881,8311362.62238649,49098066.9043031,8326523.05995454,7616059.0941296,1683376.83629052,9620055.7045556,14443258.4810124,12228976.632078
glutamine,2693735241.79137,3080332698.38994,2336457769.62819,2124098205.17263,4150446594.10563,3606393844.38552,3171068675.4501,3491743078.93494,1176860839.62296,1123520679.28057,1044166827.6994,1680197537.70624,3443849191.03723,1676353556.38642,1439143700.00206,2388538763.81672
S-Adenosyl-Homocysteine,8714236.18649199,11158063.560636,2616777.25742942,13271582.7846508,22424772.5714282,20509173.7714454,15146485.0158791,9573279.6813489,32291928.4945913,17070733.6930372,14146632.760027,24864502.3490616,18909256.5726425,21561506.2923831,25739620.4718839,27199178.8984685
GABA,82210993.7114394,86368213.7593025,21058417.2288088,191840046.008584,171938293.340387,108989232.684501,414158648.543073,215938922.563813,258396510.963777,308869787.974862,178022802.827822,142048890.059015,189314827.828198,155215440.440571,274190519.789817,148680524.651036
asparagine,62239303.4126221,75825088.1770186,104663050.821418,57314478.4261913,182050993.022984,97031469.9826048,72691015.2173422,78579049.7194638,110345728.257582,66633394.9137513,78183181.3685494,68134150.3718324,75604118.4275164,93265618.5570708,148871330.970663,102586840.645529
threonine,186587888.029756,179471071.768239,328212516.150977,168958690.792042,611109347.731821,244921346.775901,187952992.917402,273017544.653656,301951536.309366,165598099.655806,212646667.101354,216168611.179601,297281164.862431,275004940.972534,421846786.336624,393330406.408862
NAD,657670.410297977,3371927.53610454,331425.425605211,2602453.58327706,2893011.12000063,6528294.41999597,3978468.70114764,7102138.09642542,5705821.82539242,9901038.02622059,6302314.769109,7504920.10055122,616686.573865222,5787741.42582178,8779144.82162272,7824363.90031842
glycerylphosphorylethanolamine,20422262.3287267,71803101.6573297,32450693.0036725,278605020.67006,94315940.4771224,56458271.1090412,90757986.2474277,155117497.955961,219466828.939676,206134810.597269,136887823.371109,190803127.379931,140879269.901212,140513694.438875,172098111.78964,222387390.648707
AMP,260828624.995118,196067248.724719,43143065.3044816,284053265.611203,212754605.729535,118301630.533464,211862204.870077,314209277.794975,458827505.353716,497814977.496025,303618567.870167,512158529.788322,282299842.948106,336111436.975072,363484389.214466,796994853.31974
glucose,40591200.1725068,37729130.6314093,2425957.76169426,14471931.1387303,17526845.4661471,6227711.16959424,14757432.2416109,19266081.3956734,15347649.5106269,30159222.6997626,914048.400744101,13417943.3295587,NA,14290778.9184155,5266802.15131678,35432132.3298424
GMP,7889844.53813577,3306828.27520064,1497430.59309184,8677138.34402021,7972216.06316641,11278721.8809605,7208189.19693823,8039797.2952643,36647816.8053764,32925580.8758623,20811169.923905,31801827.354027,7674691.55693261,19967897.0055929,24659199.2319518,46857423.2801502
glycine,63592160.7015464,62581885.3764757,31962569.059566,73743216.8652768,95757250.3858279,64199155.4690658,56131378.3573851,72609871.0700159,79813550.6610696,86106438.3817311,46267673.5178003,87187907.8400317,60736247.1820492,67251425.2798207,92737236.0400437,137030040.882497
serine,28657935.4802763,29926086.6640651,40504944.173147,24543484.9513294,136040938.117362,66179063.7327856,42746587.6262824,38485301.4869458,50463574.7600415,40920037.8894482,27587292.0536553,46131719.9665222,69802357.1032399,61721391.3499144,69025356.7063896,61435460.0204881
GSH,325852134.226547,1039890534.25498,150152096.206649,726012198.44116,775475464.481452,982868515.496217,1258182484.08208,1109285710.54745,253186496.240435,469368268.315031,313800558.927451,187994965.070373,186895102.441529,213654025.037295,144301420.110745,245212628.148541
glutamate,1594408015.52828,4413290760.02846,704682790.800011,2785293799.5157,3878741266.3787,5399570882.22197,3733106402.32775,2711852932.68894,2970039603.58904,3165329982.39584,2266407024.67867,3048613353.26971,1290774152.29177,2691460527.51218,2903027772.96838,4290520961.51362
N-acetylaspartate,14479975.9571067,71638422.9754119,3623979.66138399,9618391.8387565,25264191.7405793,15987586.3115812,14315879.7347493,13114965.9491717,548387502.520839,393912557.777172,183386829.362987,332389895.90495,603536323.681803,251867443.589981,318007736.445368,453399592.544728
alanine,230534618.660291,184850732.642848,185388446.133989,340377390.992883,839109201.437063,680001565.486103,423432864.82683903,458103054.906427,561694657.299043,352552214.365955,345299425.806723,336121806.073036,371529754.224229,480969558.956838,703202359.923415,445847210.981214
aspartate,179320509.927186,469708564.386508,74718944.2976962,276533479.532287,233331533.640106,67215270.2026881,277099100.152508,240733768.876766,169170657.465087,179318944.349516,124296316.810439,124030987.396381,95623440.6820331,162135207.805347,180426865.623915,201796544.400487
S-Adenosyl-Methionine,3672392.2479836,7840442.71947524,14677733.2609233,3146090.97463356,42706335.1468506,12415011.5324052,1212349.31260567,2416740.6744673,6119002.56561478,12264689.9182461,9887855.83888932,14404528.3961623,11141840.4197328,8642188.00865715,7392787.5725635,5340232.38660032
glycerylphosphorylcholine,1428356407.47268,6456808904.54774,2998583015.57232,17307405940.0605,10765710266.9291,5475923229.37247,7328938652.30593,10052830739.3733,4459645627.20835,4489313592.95735,2790193387.81183,4910179137.37437,14165884930.6501,3675677581.59592,4047901748.22119,4545798635.62436
succinate,15509525.523196,53984852.5647582,23969209.774687,51083844.5536052,201338735.494396,96198919.1220284,67876997.6548722,51216457.1103641,468144347.701357,403237454.177016,303397418.620976,249273162.487508,85918652.0886121,235004246.620548,310866653.075125,244509870.929371
S-(2-Succinyl)cysteine,12871.7971630658,542174.051610996,34950.7108204099,951155.552341522,1367656.86174709,421871.046185682,808997.399438904,464089.822562812,753857.349405877,519906.994420136,512147.238625432,741150.646861054,314458.168586837,460721.461888537,786398.055399052,1563379.96806498
phosphoenolpyruvate,NA,119199.842530784,NA,688882.491496872,524101.646228436,663472.924228601,1677798.04929655,284317.709240625,NA,331910.39731125,154244.946246093,607571.470640157,NA,333820.191156093,163283.56946015,3518104.64354624
3-Phosphoglycerate,NA,3904633.03724812,NA,8906412.01073203,3286604.01557014,7126349.45450813,8308006.86334827,2230811.91578813,3073156.60191986,3976078.27679578,1743113.15871747,5482117.62281206,NA,2197967.54932031,7298085.67702874,17314226.0646627
ADP,8695705.0443893,49822235.171834,2578909.63254673,46855783.1882389,52211004.9553297,41181055.3837161,55033007.3501561,51516626.3269274,32642800.5204222,54288757.1783014,26102703.177865,28960717.473101,4950237.92407123,25506639.4499756,32978946.4534969,78420482.8732948
aKG,12943289.5666803,11900486.7796873,5086835.81997361,8050910.16311198,10444427.3079799,77361848.0493385,7788804.72808953,22745602.8677795,6017553.78772468,1318029.61645417,3087644.55250163,10661446.3164584,5540324.19713407,16254773.9905036,15592213.4854417,37772750.0021961
CMP,3264489.235776,1054984.72624488,171074.712182126,2463522.92496591,3824697.36655483,2815653.13643658,2285288.91301534,3720007.30923218,2268857.82111616,2012360.59782546,1220565.44979358,3326821.91354883,2323928.87502658,1492111.11728598,1875118.92197932,9638811.42744005
ethanolamine,219228348.948176,255480059.477757,174007636.678191,266207571.31355,270508127.021111,298581505.570774,176850931.780759,193093793.691369,605583430.010044,342246821.819332,452708135.959821,440123190.146005,747531820.14203,573886223.017657,547341940.533966,496908291.091708
malate,134336686.066178,295306791.431997,63898092.6062784,991713846.012122,1229082390.73208,839156218.238923,661919007.350207,544954249.848501,960008844.878796,752572220.207297,555402475.519874,666636327.57868,454479160.308145,843960108.578194,1168338026.64381,974854417.757806
succinyladenosine,NA,64404.0985282168,17440.3799341228,518786.850640338,2086213.7944894,204275.329067214,162565.536381116,NA,4388085.8615167905,3126711.89834879,1902760.25165097,1781208.52825023,640227.500026322,3131828.22082045,5708284.30826338,1854599.5704705
aconitate,12648989.6101035,15279305.0221795,7087755.90499783,24190349.3819268,16793949.1307011,40549202.5258941,14683720.0865727,14057537.0203785,2429275.73196421,6475838.58158813,6170585.10073097,11370778.9217644,13055910.4381274,24936237.1498425,8814991.71972892,18762012.5640605
choline,1392491901.54064,2094155511.92869,2073376198.68326,5525627124.41734,2960945827.34137,4094376715.6785,3599631558.96316,3044359986.93789,3893025367.92514,1677567689.08993,2886302615.5155,2238440436.17136,6525594184.77378,2787464300.4896,4213003774.82866,3466396663.50717
fructose 6-phosphate,312749.208471234,4010706.31740052,698253.718668804,13571607.8572338,7441622.88261576,34511178.3500711,56840604.711396,9444353.77853016,1203682.71765426,3707779.42359969,1410251.05216368,2204147.23859495,1024030.95367567,1832339.85796056,1293752.74413818,3869238.1896942
sedoheptulose_7-phosphate,NA,1106031.59133787,NA,2083093.16840668,813303.318086535,2989695.87905511,1247270.84478866,NA,NA,203472.697480312,NA,156399.455815874,NA,NA,NA,628695.600793549
fumarate,4565976.20715398,11699784.6444917,929267.939176927,54420243.3807296,64741827.0379683,45792422.1199129,37116760.0102448,25704790.9602445,66180010.5141455,42727431.8781966,32619665.3605345,40034583.2346469,20347716.7970223,47572911.1666546,85258497.7362116,70333798.9588171
uridine,199157.855057367,243724.498590791,41891.5979710486,3202989.3363264,1782860.88352972,298786.055077464,521408.015883938,49301.1011894942,2967274.71336793,3793002.50642973,697373.880760335,3259370.67475382,1400394.95560632,1819857.96906719,1889183.03126906,2249434.55305772
glucose 6-phosphate,170264.075835967,2663534.80685624,494422.447532755,5346525.38126819,2696112.79379317,4906387.54018041,4455413.50393897,870189.199677045,1881656.01014478,3569934.22191849,1337980.24260208,2231173.25181126,1821762.56873715,1880791.54377677,2126611.7894588,3170752.5643251
uric acid,5643832.8943249,5436514.27045068,5383458.06701778,915317.475490718,3190447.09143652,784598.502344789,2412714.54175181,3835105.15573446,2820904.41863468,2978116.51795217,1609187.39060013,3625847.9172894,5299778.55085531,3805294.43065055,4616987.67312172,11563958.3810098
GSSG,3840158.98546756,6920304.85090242,376813.559945857,8077467.64000253,4974388.74483351,8636004.84465938,22614402.7415403,18196986.7000823,2064267.92805852,1545308.35005038,2447331.17097656,174746.707698723,1515621.84301857,444026.916775659,249929.012370877,5316043.00947609
ornithine,16126380.2164111,11902483.387466,35532174.6978729,15311785.5668578,427644556.434516,133517027.582411,40907445.5363611,38945947.1723986,23144717.9578354,13799709.1664806,25474542.7386047,22396240.5473382,48073549.2705038,22965699.8835436,28954922.7168565,24405729.8948918
adenylosuccinate,NA,NA,NA,133917.677328398,503944.22741622,51071.0876259671,10380.2951984474,NA,2458979.11523325,1521134.6065049,386190.918864608,865747.605127354,NA,1227560.90828226,2792749.54037836,4284656.50093724
citrate,261181034.577242,299092012.882085,178711673.91255,446632230.696112,320851311.426803,515351928.886691,331838099.53765,339860655.423029,193477623.931721,248269259.84759,191723551.591627,318875320.473893,263090617.229503,447159628.735026,295940129.304366,482833373.354134
ascorbic acid,39481244.5912425,161337009.767378,9923131.23456686,412711.475597722,44176225.0892347,NA,NA,NA,18847596.764737,122331066.698924,91395160.4197364,69732137.4497408,NA,NA,4679420.77657576,125742348.97782
quinolinic acid,NA,27072436.7348933,3076495.81009215,NA,NA,NA,NA,NA,NA,NA,162455.286476102,NA,NA,296463.68415464,NA,990593.483127041
UMP,5154142.82118422,2291452.00929762,1369331.36583322,12202287.7289367,5452379.79201127,6799255.2274063,5976404.69992628,8493011.80482039,8693538.18921343,8587983.2425068,6175207.89518362,15359900.8509963,4479822.52810647,6429671.41945432,5562289.52975923,31258324.8006487
6-phosphogluconolactone,NA,128504.200857333,NA,6878256.58463302,382541.542563633,482734.755876822,1209213.78112183,315056.5738926,NA,NA,NA,NA,NA,NA,NA,52153.9287017578
lysine,107164175.349883,87571973.8725965,184993292.859843,56537622.0588914,1540627357.48665,309025189.155676,246618732.389382,168574733.908114,133856477.304318,108954754.240123,112078282.0146,107141143.111252,180674626.763181,180849615.715312,326676017.560733,173787460.916885
arginine,266194966.070923,242952033.477404,445083216.45739,159523347.979413,1870016204.75148,301648642.236125,618651092.979748,518736784.254409,278819324.732311,260003115.114624,276832281.884499,252049535.728125,403875119.744681,316192562.629187,440678369.48512,418775132.214465
ATP,NA,24884457.1843564,9431.02821761701,17215627.5289333,12470712.5768262,19115928.4985905,32530111.8847764,25396597.8238907,2075190.25297702,6697720.0379266,1566709.31338139,1788667.4165518,15075.1107091402,2274728.62165931,3775464.92555914,7624458.05858021
UDP,441665.019693281,1557563.64123268,32872.8108960054,1527171.8548341,689067.632090679,902084.886415487,1603575.08197733,1695291.09617636,287111.827226952,787833.018840934,187465.584785097,417566.449317185,NA,152110.146813749,170049.878585975,1664585.6356871
CDP,10551.6983980081,394566.420562383,NA,579303.934052928,371103.378995567,377387.283006651,533060.631918489,887300.25800651,NA,41772.9752964254,10320.1361821875,46738.9024040622,NA,23968.105709385,31935.4232753913,601002.706735837
GDP,116490.991341183,1645639.85749992,NA,2890336.47411269,1061076.30048533,1310886.45345591,2739860.27139152,3094008.25754727,1310378.76776071,1835065.50367424,954138.846855525,785021.736814071,20922.42911748,566134.708276202,1236519.15120602,3305306.21773757
Carbamoyl_phosphate,63646616.7994547,126708355.51632,48764259.7003834,95179300.4856159,109250507.644213,148469874.272825,110676844.710419,94427708.7623257,105001996.772059,121298381.0342,97362177.2195495,112634402.292164,85621002.5385192,97434174.7361327,102449267.660642,143552910.2277
