metabolite,11TU,15TU,16TU,24TU,29TU,32TU,38TU,40TU,11KI,15KI,16KI,24KI,29KI,32KI,38KI,40KI
d8-valine,71196500121.5768,67095155020.9827,64285383415.1324,74389291559.847,65774895365.2554,76318177526.8751,73489473622.2813,61184564807.0501,69037548472.6636,70614927253.1797,78041793629.9585,67205269960.9713,72227098067.7261,74176138853.9133,76104984925.2731,66205475320.6256
inosine,64608907.515752,94812826.0944283,28698532.9634523,228876669.966054,215172038.807338,75115272.5542047,112281801.15763,26895437.465299,250491059.193564,243832348.323762,188267635.458233,205899899.632681,208058287.478435,94933129.0105064,183236265.790089,238858524.537438
linoleic acid,79329179.2452321,34585518.9918415,138517114.365124,51469195.3907692,35261494.4445194,40676212.6554264,46899115.562629,47529505.3748179,195623399.701227,76661142.852324,60458887.5253262,83584666.1579816,124123810.465374,66356362.0389486,115666769.853726,128181477.567043
myristic_acid,37054962.5729139,7618235.84935448,23918947.0800171,12310399.6259186,7717551.82437143,8552340.31610643,11928494.7982146,20257810.2145917,50515178.6972034,4395598.14502396,8182822.59372656,12851957.0870688,16695885.9359462,7561411.07417283,14697615.2824118,16707739.2646025
oleic_acid,213272345.489763,90130036.0970286,632436815.278887,145553387.581659,67838461.8812111,90856857.0492363,120838344.215994,156613198.533698,304575132.391634,82583327.2766227,93052891.6579144,155717515.037889,253977420.364746,86210562.2792212,174819223.72235999,172542899.943331
palmitic_acid,349930669.856346,187393446.139021,1081552657.72627,250528440.168431,171185194.792312,192991838.288862,188821359.486244,278933098.607222,509488341.651574,184044505.857066,282562976.788568,314630660.797305,584206482.850899,242900973.553661,395111537.123277,367761934.698856
palmitoleic acid,46610669.2982898,11187910.9879164,39236813.733134,11563594.7962634,4341512.86408218,6354764.01536746,13060831.3785678,19094659.1911174,70852408.1334576,5550602.77444939,6112114.65853068,15280840.5690232,14377232.685376,3122417.72903493,18679379.5492887,16647529.0335109
stearic acid,106301979.974206,73179748.7637324,603515938.413266,78234751.5949831,62744526.6525066,80800295.2694672,72575629.6354878,99329190.2398118,182548527.453436,73137517.3045751,129744527.08368,140434975.430037,273187228.070923,95539771.3063931,159566941.999097,173355239.222721
stearoyl_carnitine,NA,19278742.4802622,78144771.4444347,7993627.65742612,11200230.2254002,265752119.673894,8336728.51144436,19121658.2508802,46645906.3182287,37174054.8363597,48312239.0920497,28052262.9492397,57166625.8505107,49486639.4715389,39725012.6965124,39479517.5191148
oleylcarnitine,26875473.4550567,124479278.378766,412645867.786148,50226809.5747651,28930453.631609,628662067.720224,67376132.2991205,126502478.359903,115925574.78295,148037397.488339,88241535.9766056,129552533.382858,140515195.530605,120872589.851848,142503685.896699,143922717.942592
