ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
359,-7.901527466917273,10.244930592856774,-27.80499321761611,4.078626448483657e-19,6.492765443341134e-15,32.54962429106892
5288,-4.507990634861752,8.400605483719005,-23.67180291117306,1.43019494289075e-17,1.0771039357525118e-13,29.537902640359597
6340,-5.330897818868116,8.79435147244879,-23.297525063097254,2.0298459747833002e-17,1.0771039357525118e-13,29.232401156923196
1288,-3.284363898060839,7.951880994469075,-21.376127764981277,1.3345680906780478e-16,5.31124735887596e-13,27.56454838263874
79977,-3.321858336357633,7.883564829156456,-21.13819113984226,1.7031495240161642e-16,5.422487454562664e-13,27.345671405541104
389015,-3.8853247847606776,8.142943934568484,-20.298563300805,4.109803602965625e-16,1.0903993925934964e-12,26.54988074684797
27134,-2.694867536326657,7.710460369220611,-19.757157713413704,7.381319844388923e-16,1.6786175800403895e-12,26.01655924192012
1188,-6.164251138602527,9.653858377159661,-19.541553384796643,9.357274451149508e-16,1.8619806498481127e-12,25.799581393309168
150696,-4.210407257313861,9.217996333013758,-19.325150742038563,1.1900646354290658e-15,2.1049598812661442e-12,25.579100823152388
3758,-5.094073811651596,8.948768076023086,-18.35797076457525,3.591907290270746e-15,5.717957215382e-12,24.559369867585666
6338,-3.9164454732805476,8.212180723346053,-17.590616952141225,8.954358354016044e-15,1.2958584603416492e-11,23.70822257704341
2066,-4.812053245026363,9.072978927641538,-17.11150658099749,1.6122291561188156e-14,1.9824785448054252e-11,23.15671343184862
124975,-2.9850859557106846,7.663130634437726,-17.108153012245847,1.6189598016502624e-14,1.9824785448054252e-11,23.15279676138838
54566,-2.4837811700297534,7.511284571405152,-16.654655441168014,2.862578328832134e-14,3.01930423905067e-11,22.61574293296774
9073,-3.6634444289319497,7.910382193603104,-16.649703257509767,2.8806601192572754e-14,3.01930423905067e-11,22.60979604922297
2625,-4.094029009848722,9.052182717106145,-16.608790423842215,3.034667241963108e-14,3.01930423905067e-11,22.560596453482752
57111,-1.939622724896516,7.129956426022477,-16.199809613530697,5.138862918485231e-14,4.812091694080376e-11,22.06192519198318
53828,-3.8742093189798537,8.029472096043223,-15.215479398423764,1.9145795994530232e-13,1.693232924649593e-10,20.808462870710823
5364,-2.826116437523007,11.988887918671074,-15.171291194659537,2.0343763711650388e-13,1.7044861817145397e-10,20.750352146403944
105377133,-1.6449878063571797,7.258893830878888,-15.007241245282644,2.5517847402940983e-13,2.0310930640370877e-10,20.533181694087055
1187,-5.3193301407633635,9.347704113090055,-14.944769832202148,2.783259040477102e-13,2.109842888826428e-10,20.449883327041103
54897,-2.980727151171381,9.832972854929224,-14.568828857685459,4.723380865279786e-13,3.417795454290405e-10,19.941515827874234
5101,-3.0307373355643206,8.680359815423524,-14.490090229194353,5.284135405973493e-13,3.657310935986611e-10,19.83347648031829
440556,-5.239137293613484,9.269444083805963,-14.268957216702567,7.260425415852743e-13,4.815779674789991e-10,19.527096949937018
5783,-1.8729307640694106,11.462377790605117,-14.125228538386342,8.944961400652354e-13,5.695793621479392e-10,19.325591351668656
138046,-2.2798055667763917,7.214240175689014,-14.092386773907368,9.38400468997937e-13,5.706601276222432e-10,19.27928249923514
339983,-3.0002851822911865,7.981351111009037,-14.071212743314108,9.678889029336368e-13,5.706601276222432e-10,19.249373242658027
89869,-2.1574775532694987,7.219750444502754,-13.882457388389605,1.277418181923879e-12,7.26257858501651e-10,18.980912082868322
9722,-2.7441503638729,8.17195320537805,-13.83172773039991,1.3770304361573412e-12,7.558947418340936e-10,18.908193529011225
10256,-2.3483622316322856,7.697725205177091,-13.67060074383461,1.75047192745836e-12,9.204833906528234e-10,18.675612628480746
55503,-2.090214863585021,7.279051247420607,-13.654746250139805,1.7925111571227794e-12,9.204833906528234e-10,18.652593755051345
23504,-2.905041709656669,7.6251968603493605,-13.536280032869664,2.1417831039806734e-12,1.0607059877522397e-9,18.479830915418727
100507651,-2.8742879476968097,7.517165661198818,-13.509626625910384,2.2296854534911543e-12,1.0607059877522397e-9,18.44077491668646
113278,-2.501903849780563,7.691097047219555,-13.499087602468858,2.2654691616041302e-12,1.0607059877522397e-9,18.425312793473626
2070,-2.5003956563431196,8.03638268143223,-13.451522588546801,2.434546396641279e-12,1.0925398241958075e-9,18.355394468034124
56924,-2.342791794820375,7.547838614918515,-13.428501076865478,2.5210362335498977e-12,1.0925398241958075e-9,18.32147481101587
140469,-3.0505262111227482,8.049301881108256,-13.423730698120195,2.539353822177579e-12,1.0925398241958075e-9,18.31443971466848
828,-1.5439871993069554,8.40400810606874,-13.400823512902226,2.6292594471030036e-12,1.1014521352219136e-9,18.280626451830685
3975,-3.5141768481035074,8.114662048251205,-13.15148042947294,3.851483839358621e-12,1.5720966984294845e-9,17.909226345026948
2555,-2.226881233318495,7.208553177063055,-12.798751326735019,6.673958303496303e-12,2.6560685558339414e-9,17.37317003999664
1298,-3.1759056368656786,8.55063639252716,-12.7166518753062,7.597655647965534e-12,2.949928786828374e-9,17.24657154431393
146325,-2.543010315511279,7.35164498526807,-12.44216705069682,1.1774107642977745e-11,4.462667132584827e-9,16.818192688445603
607,-1.2210530777628872,9.78760412508567,-12.380766150623803,1.2999290250395863e-11,4.812458174326785e-9,16.721274473969622
27124,-4.19203324715012,8.856433174456848,-12.308948586676733,1.460188029237999e-11,5.282893917599933e-9,16.607401468741656
10053,-2.3733372665262724,7.943673763681428,-12.264780082585707,1.5688085077584972e-11,5.549747252223892e-9,16.537092560368475
400793,-2.3714425531112235,8.022173906700688,-12.239619789549137,1.6343995884781917e-11,5.656088488909638e-9,16.49694723518985
340267,-2.457819350194309,8.269824960915676,-12.218129076897418,1.6926759194458333e-11,5.733129353544302e-9,16.46260267212804
8991,-2.2005393721501427,9.32621071927861,-12.19989359001614,1.7438147384756415e-11,5.783288921207028e-9,16.4334209739202
121457,2.0203530107713537,8.2949238620723,12.160541546499298,1.8597084486349293e-11,6.041775264044784e-9,16.370323711060514
1287,-3.034476092277643,9.891052447020177,-12.065798553126735,2.1727030508689084e-11,6.917451973356431e-9,16.217717613922527
4588,-2.4703779569322126,9.463466762021095,-12.039074197792315,2.270528884586623e-11,7.087166532104795e-9,16.17449336613853
222171,-1.9412703880101212,7.362694891528491,-12.01407109357258,2.3661935075749502e-11,7.243737393670313e-9,16.133981740015958
10411,-2.8316450424137436,10.717672288580184,-11.95814041399366,2.5956348740667387e-11,7.796209728352532e-9,16.043108798149515
65997,-2.361871947121881,7.635097130255191,-11.937333277792039,2.686776675828996e-11,7.920518130096628e-9,16.009213954357172
9901,-2.212975706096465,9.129583635112668,-11.612161998338685,4.634322266625758e-11,1.3413413847711899e-8,15.473194763314748
53353,-2.637305542131843,7.726706418340898,-11.586230338381629,4.842543810872136e-11,1.3765795522370276e-8,15.4299320450992
641384,1.8691624653066725,7.136108057287286,11.570079349834739,4.9771107441927445e-11,1.3900109813474439e-8,15.402947823935335
3248,-2.0862998744627834,7.711517872992219,-11.516062396607333,5.456028672533567e-11,1.4974917316907216e-8,15.312481369690282
5596,-2.9038015553090872,7.673923011953891,-11.495648446848051,5.6492447186549165e-11,1.524242825021485e-8,15.2782049981449
101929206,-1.7536105950861032,7.929170145108427,-11.444430098821208,6.165888063885303e-11,1.6359128681498356e-8,15.191993945321698
9091,-1.7190424598377447,10.105070752834449,-11.394140808202005,6.720944020916369e-11,1.7539460306388142e-8,15.107050648406918
793,-5.440241863036063,9.218502107641699,-11.375827051354726,6.935729101088726e-11,1.7808043800037326e-8,15.076043906828563
54209,1.9910015176029363,6.860645575962863,11.30427204456452,7.845526902096335e-11,1.9824276627693896e-8,14.954519639551286
440503,-3.262477947978396,8.408788280243026,-11.231787083190998,8.893933434746647e-11,2.2122269741833104e-8,14.830803517072319
84467,-2.9552549663263123,7.593837663507355,-11.206952674004388,9.285685044049024e-11,2.2741356956340987e-8,14.788274135471248
30001,1.7703591765334288,10.21191796506483,11.158611028506218,1.0100383049014599e-10,2.4361817842009606e-8,14.705278903005759
7020,-2.999782178229257,8.01574619073173,-11.132554320069431,1.0569900732323226e-10,2.511376862057514e-8,14.660428517863739
56934,-2.334364370691458,7.251946718279813,-11.082911435886535,1.152805609562283e-10,2.6987518380326444e-8,14.574756532314844
6557,-6.727725043349943,9.990643682376495,-11.030941515480688,1.2628004560701434e-10,2.911891905923519e-8,14.484753290393773
6422,-4.5907086789233995,9.06197784050204,-11.023048096049136,1.2804349105763322e-10,2.911891905923519e-8,14.471054905591629
54097,-1.5147036441685477,6.946265727417852,-10.993480167945268,1.348792022275065e-10,3.024143690506586e-8,14.419675692607974
26027,-2.773943367422996,9.296733818640929,-10.968085385449166,1.410517070811901e-10,3.118614062535369e-8,14.375464096786857
6943,-3.3592629815019333,8.791013341628263,-10.924520231258164,1.5233145271006649e-10,3.321869035193902e-8,14.29943730588342
5816,-2.108365105853622,7.139034883819684,-10.903381855336876,1.5813735508261982e-10,3.4018764264327364e-8,14.262465486289994
1852,-3.7382574857966047,7.972643417111695,-10.88034816490705,1.6472547300201638e-10,3.496353072958798e-8,14.222117076657849
283455,-2.841755734100696,8.31628608711039,-10.822173373770026,1.8266137502379632e-10,3.8260347750050184e-8,14.119924712131144
83935,1.3750383125446675,7.691152825032079,10.785216085824144,1.9509597496732095e-10,4.0334192539023145e-8,14.054789823080132
