Node1	Sign	Node2
X1445	-1	X7525
X5566	-1	X5979
X5566	-1	X2931
X5566	-1	X4261
X5578	-1	X2931
X83737	-1	X1840
X6772	 1	X3659
X5602	 1	X3725
X5580	-1	X2313
X5580	-1	X2931
X5580	-1	X7529
X9212	 1	X472
X2305	 1	X9212
X5979	 1	X5594
X5979	 1	X6774
X5979	 1	X5599
X5979	 1	X55715
X5588	 1	X1147
X1147	 1	X5970
X9113	 1	X10413
X5601	 1	X4609
X1017	 1	X4609
X6772	 1	X4609
X5594	 1	X4609
X2932	-1	X4609
X5599	 1	X4609
X5601	 1	X6772
X5879	 1	X5601
X5601	 1	X6774
X5599	 1	X5601
X5601	 1	X3725
X6774	 1	X6688
X3725	 1	X6688
X9612	 1	X8841
X9612	 1	X1487
X3516	 1	X9612
X815	-1	X9612
X1017	 1	X1051
X5594	 1	X1017
X1017	 1	X2305
X5501	 1	X1025
X2625	-1	X1051
X472	 1	X8445
X472	 1	X3091
X3716	 1	X6772
X6773	 1	X6772
X5594	 1	X6772
X6774	 1	X6772
X5599	 1	X6772
X5879	 1	X5062
X5879	 1	X6774
X5879	 1	X5599
X396	-1	X5879
X1051	 1	X1874
X5594	 1	X1051
X1051	 1	X6774
X5595	-1	X4261
X3716	 1	X6773
X3716	 1	X6774
X3716	 1	X6777
X5788	-1	X3716
X1487	 1	X9839
X983	 1	X9113
X983	 1	X891
X2932	-1	X983
X983	 1	X8317
X983	 1	X2305
X4853	 1	X3516
X1019	-1	X864
X5594	 1	X5970
X5970	 1	X3725
X5594	 1	X6670
X5594	 1	X3091
X5594	 1	X6774
X5594	 1	X3725
X5594	 1	X4261
X2305	 1	X891
X5062	 1	X3725
X2932	-1	X3725
X2932	-1	X4853
X5599	 1	X6774
X815	-1	X2114
X5599	 1	X3725
X3551	-1	X7529
X5502	-1	X5501
X5501	 1	X10320
X4261	 1	X5993
XMetab__985___r____	 1	X4800
XMetab__60961___c____	 1	X7852
XMetab__985___r____	 1	X4899
XMetab__985___r____	 1	X6721
X56848	 1	XGene2669__56848
XMetab__5353956___r____	 1	XGene2641__8879
XGene2641__8879	 1	XMetab__985___r____
XGene2669__56848	 1	XMetab__5353956___c____
XGene7344__4860_reverse	 1	XMetab__60961___c____
XMetab__190___c____	 1	XGene7344__4860_reverse
X5578	 1	X5592
X25937	 1	X4654
X9113	-1	X25937
X25937	 1	X7003
X7525	-1	X1019
X5566	 1	X1499
X5566	 1	X2099
X5170	 1	X5566
X5566	 1	X3297
X5566	 1	X6662
X5566	 1	X4137
X5566	 1	X2932
X5566	 1	X1445
X5566	 1	X396
X5566	 1	X5502
X5566	 1	X7020
X5170	 1	X5578
X5578	 1	X5595
X5578	 1	X3643
X5578	 1	X3551
X1499	 1	X4654
X2931	-1	X1499
X1499	 1	X3164
X1499	 1	X6925
X5170	 1	X5581
X2932	 1	X5581
X10413	-1	X83737
X5170	 1	X5580
X5580	 1	X688
X5595	 1	X9261
X9261	 1	X3297
X7852	 1	X5294
X1147	-1	X3170
X8986	 1	X466
X5595	 1	X6720
X1017	-1	X4654
X983	-1	X4654
X1017	-1	X8626
X1017	-1	X8856
X1017	-1	X1045
X8841	-1	X7975
X2099	 1	X2625
X5595	 1	X2099
X2932	 1	X2099
X1500	 1	X1000
X5294	 1	X5170
X472	-1	X8626
X472	-1	X672
X3551	 1	X8626
X5595	 1	X6721
X2931	-1	X4137
X2931	-1	X2627
X5599	-1	X3164
X3164	 1	X7026
X8856	 1	X3172
X672	 1	X6657
X4149	 1	X4335
X9043	 1	X4149
X4149	 1	X4601
X5595	 1	X8986
X5595	 1	X3297
X5595	 1	X4137
X5595	 1	X56848
X5595	 1	X4150
X3551	 1	X3661
X5599	-1	X3297
X983	-1	X1523
X5594	-1	X4137
X5594	-1	X2932
X5594	-1	X5460
X815	 1	X4137
X5501	-1	X815
X1000	 1	X50937
X50937	 1	X9043
X1445	 1	X5788
X7026	 1	X7025
X7529	-1	X6733
X1840	-1	X429
XMetab__5353956___c____	 1	XGene2674__SPHS1PtrEXCHANGE1
XGene2674__SPHS1PtrEXCHANGE1	 1	XMetab__5353956___r____
