Node1	Sign	Node2	Weight
X1445	-1	X7525	100
X5566	-1	X5979	100
X5566	-1	X2931	100
X5566	-1	X4261	100
X5578	-1	X2931	100
X83737	-1	X1840	100
X6772	 1	X3659	100
X5602	 1	X3725	100
X5580	-1	X2313	100
X5580	-1	X2931	100
X5580	-1	X7529	100
X9212	 1	X472	100
X2305	 1	X9212	100
X5979	 1	X5594	100
X5979	 1	X6774	100
X5979	 1	X5599	100
X5979	 1	X55715	100
X5588	 1	X1147	100
X1147	 1	X5970	100
X9113	 1	X10413	100
X5601	 1	X4609	100
X1017	 1	X4609	100
X6772	 1	X4609	100
X5594	 1	X4609	100
X2932	-1	X4609	100
X5599	 1	X4609	100
X5601	 1	X6772	100
X5879	 1	X5601	100
X5601	 1	X6774	100
X5599	 1	X5601	100
X5601	 1	X3725	100
X6774	 1	X6688	100
X3725	 1	X6688	100
X9612	 1	X8841	100
X9612	 1	X1487	100
X3516	 1	X9612	100
X815	-1	X9612	100
X1017	 1	X1051	100
X5594	 1	X1017	100
X1017	 1	X2305	100
X5501	 1	X1025	100
X2625	-1	X1051	100
X472	 1	X8445	100
X472	 1	X3091	100
X3716	 1	X6772	100
X6773	 1	X6772	100
X5594	 1	X6772	100
X6774	 1	X6772	100
X5599	 1	X6772	100
X5879	 1	X5062	100
X5879	 1	X6774	100
X5879	 1	X5599	100
X396	-1	X5879	100
X1051	 1	X1874	100
X5594	 1	X1051	100
X1051	 1	X6774	100
X5595	-1	X4261	100
X3716	 1	X6773	100
X3716	 1	X6774	100
X3716	 1	X6777	100
X5788	-1	X3716	100
X1487	 1	X9839	100
X983	 1	X9113	100
X983	 1	X891	100
X2932	-1	X983	100
X983	 1	X8317	100
X983	 1	X2305	100
X4853	 1	X3516	100
X1019	-1	X864	100
X5594	 1	X5970	100
X5970	 1	X3725	100
X5594	 1	X6670	100
X5594	 1	X3091	100
X5594	 1	X6774	100
X5594	 1	X3725	100
X5594	 1	X4261	100
X2305	 1	X891	100
X5062	 1	X3725	100
X2932	-1	X3725	100
X2932	-1	X4853	100
X5599	 1	X6774	100
X815	-1	X2114	100
X5599	 1	X3725	100
X3551	-1	X7529	100
X5502	-1	X5501	100
X5501	 1	X10320	100
X4261	 1	X5993	100
XMetab__985___r____	 1	X4800	100
XMetab__60961___c____	 1	X7852	100
XMetab__985___r____	 1	X4899	100
XMetab__985___r____	 1	X6721	100
X56848	 1	XGene2669__56848	100
XMetab__5353956___r____	 1	XGene2641__8879	100
XGene2641__8879	 1	XMetab__985___r____	100
XGene2669__56848	 1	XMetab__5353956___c____	100
XGene7344__4860_reverse	 1	XMetab__60961___c____	100
XMetab__190___c____	 1	XGene7344__4860_reverse	100
X5578	 1	X5592	100
X25937	 1	X4654	100
X9113	-1	X25937	100
X25937	 1	X7003	100
X7525	-1	X1019	100
X5566	 1	X1499	100
X5566	 1	X2099	100
X5170	 1	X5566	100
X5566	 1	X3297	100
X5566	 1	X6662	100
X5566	 1	X4137	100
X5566	 1	X2932	100
X5566	 1	X1445	100
X5566	 1	X396	100
X5566	 1	X5502	100
X5566	 1	X7020	100
X5170	 1	X5578	100
X5578	 1	X5595	100
X5578	 1	X3643	100
X5578	 1	X3551	100
X1499	 1	X4654	100
X2931	-1	X1499	100
X1499	 1	X3164	100
X1499	 1	X6925	100
X5170	 1	X5581	100
X2932	 1	X5581	100
X10413	-1	X83737	100
X5170	 1	X5580	100
X5580	 1	X688	100
X5595	 1	X9261	100
X9261	 1	X3297	100
X7852	 1	X5294	100
X1147	-1	X3170	100
X8986	 1	X466	100
X5595	 1	X6720	100
X1017	-1	X4654	100
X983	-1	X4654	100
X1017	-1	X8626	100
X1017	-1	X8856	100
X1017	-1	X1045	100
X8841	-1	X7975	100
X2099	 1	X2625	100
X5595	 1	X2099	100
X2932	 1	X2099	100
X1500	 1	X1000	100
X5294	 1	X5170	100
X472	-1	X8626	100
X472	-1	X672	100
X3551	 1	X8626	100
X5595	 1	X6721	100
X2931	-1	X4137	100
X2931	-1	X2627	100
X5599	-1	X3164	100
X3164	 1	X7026	100
X8856	 1	X3172	100
X672	 1	X6657	100
X4149	 1	X4335	100
X9043	 1	X4149	100
X4149	 1	X4601	100
X5595	 1	X8986	100
X5595	 1	X3297	100
X5595	 1	X4137	100
X5595	 1	X56848	100
X5595	 1	X4150	100
X3551	 1	X3661	100
X5599	-1	X3297	100
X983	-1	X1523	100
X5594	-1	X4137	100
X5594	-1	X2932	100
X5594	-1	X5460	100
X815	 1	X4137	100
X5501	-1	X815	100
X1000	 1	X50937	100
X50937	 1	X9043	100
X1445	 1	X5788	100
X7026	 1	X7025	100
X7529	-1	X6733	100
X1840	-1	X429	100
XMetab__5353956___c____	 1	XGene2674__SPHS1PtrEXCHANGE1	100
XGene2674__SPHS1PtrEXCHANGE1	 1	XMetab__5353956___r____	100
