Nodes	Activity
X5062	1
X815	-1
X9261	-1
X5581	-1
X5601	1
X983	1
X5592	-1
X8317	1
X5599	1
X5170	-1
X1017	1
X2931	1
X1020	0.99999999999977263
X1445	-1
X1025	1
X8445	1
X3643	-1
X9212	1
X6733	-1
X5602	1
X891	1
X4137	-1
X3725	1
X7003	-1
X4609	1
X5993	1
X1874	1
X3091	1
X7020	-1
X2625	-1
X6772	1
X3516	1
X2099	-1
X5970	1
X3170	-1
X466	-1
X2114	1
X3172	-1
X4800	-1
X3659	1
X6688	1
X4654	-1
X2305	1
X3661	-1
X6670	1
X6657	-1
X6925	-1
X6720	-1
X6721	-1
X8626	-1
X6774	1
X2313	1
X6773	1
X2627	-1
X864	1
X9839	1
X3297	-1
X5460	-1
X6662	-1
X688	-1
X4899	-1
X10320	1
X6777	1
X4335	-1
X7025	-1
X1045	-1
X4601	-1
X1523	-1
X4149	-1
X4150	-1
X7975	-1
X429	-1
XMetab__985___r____	-1
XMetab__5961___c____	1
XMetab__5961___e____	1
XMetab__5961___m____	1
XMetab__9750___c____	1
XMetab__9750___m____	1
XMetab__9750___e____	1
XMetab__60961___c____	-1
X5294	-1
X56848	-1
X1487	1
XMetab__107738___m____	-1
XMetab__107738___x____	-1
XMetab__700___c____	-1
XMetab__6029___c____	-1
XMetab__5353956___r____	-1
XGene2641__8879	-1
XGene2669__56848	-1
XMetab__1110___m____	-1
XMetab__790___x____	-1
XMetab__190___e____	-1
XMetab__790___c____	-1
XMetab__5353956___c____	-1
XMetab__107738___c____	-1
XMetab__6426851___c____	-1
XMetab__6426851___e____	-1
XMetab__1110___c____	-1
XMetab__6021___c____	-1
XMetab__588___e____	-1
XMetab__107738___e____	-1
XMetab__190___c____	-1
XMetab__6021___e____	-1
XMetab__1110___e____	-1
XMetab__6029___e____	-1
XGene7344__4860_reverse	-1
XMetab__700___e____	-1
XMetab__790___e____	-1
X2534	0.99999999999977263
X5578	-1
X25937	-1
X9113	1
X5566	-1
X5580	-1
X5747	-2.2737367544323206e-13
X55715	1
X1147	1
X3551	-1
X7525	1
X5595	-1
X5594	1
X5788	-1
X472	1
X1499	-1
X10413	1
X2932	-1
X1500	-1
X83737	-1
X5588	1
X5501	1
X396	-1
X3554	2.2737367544323206e-13
X4853	1
X8841	1
X7852	-1
X3716	1
X5979	1
X8986	-1
X1019	-1
X5879	1
X7026	-1
X9612	1
X8856	-1
X1051	1
X672	-1
X9043	-1
X3164	-1
X50937	-1
X7529	1
X1840	1
X1000	-1
X5502	-1
X4261	1
XGene2674__SPHS1PtrEXCHANGE1	-1
XMetab__1110___x____	-1
XMetab__6029___l____	-1
XMetab__6029___n____	-1
XMetab__588___c____	-1
